id;name;date;keywords
1;Zika virus outbreak;2016-01-28;zika&virus|#zika
2;North Korea rocket launch;2016-02-07;north&korea
3;Obama visit to Cuba;2016-03-21;obama&cuba
4;EgyptAir flight 804 crash;2016-05-19;egyptair&crash|msr804
5;UK referendum to leave the EU;2016-06-23;brexit|uk&referendum
6;Atatürk Airport attack;2016-06-28;istanbul&attack|ataturk&attack|istanbul&bomb
7;Juno enters Jupiter orbit;2016-07-05;juno&jupiter|juno&orbit|juno&nasa
8;Turkey coup attempt;2016-07-15;turkey&coup
9;Olympic Games in Rio, Brazil;2016-08-05;olympics|olympicgames|rio2016|brazil2016
10;Panama papers;2016-04-03;panama&papers
