id;name;date;keywords
1;Japan Earthquake & Tsunami;11/03/2011;japan&earthquake|japan&tsunami
2;Osama Bin Landen killed;03/05/2011;bin&landen
3;Muammar Gaddafi killed;20/10/2011;gaddafi
4;Mark Duggan police killing, UK riots;04/08/2011;mark&duggan
5;Steve Jobs dies;05/10/2011;steve&jobs
6;Kim Jong-il dies;17/11/2011;kim&jong-il
7;Egyptian Revolution, Hosni Mubarak resignation;11/02/2011;mubarak|egypt&revolution
8;New-Zealand earthquake;22/02/2011;new&zealand&earthquake|nz&earthquake
9;Royal Wedding;29/04/2011;royal&wedding|royalwedding|prince&william|middleton
10;Amy Winehouse dies;23/07/2011;winehouse|#amy
11;Higgs Boson discovery;04/07/2012;higgs|boson|higgs&cern|boson&cern
12;Houla Massacre in Syria;25/05/2012;houla&massacre
13;Greek debt crisis;21/02/2012;greek&debt|greek&bailout|greece&eurozone|greece&euro|greece&debt|greece&bailout|grexit
14;2012 Olympic Games in London;27/07/2012;olympic&games|olympics|london2012
15;Curiosity Lands on Mars;06/08/2012;cusiosity&mars|cusiosity&nasa|#curiosity
16;Felix Baumgartner sky-dive (Red Bull Stratos);14/10/2012;#rbstratos|felix&baumgartner|#stratosbowl|#stratos|#redbullstratos
17;Whitney Houston dies;11/02/2012;whitney&houston|#whitney
18;Neil Armstrong dies;25/08/2012;neil&armstrong|#neil|armstrong
19;Shenzhou 9 Chinese spacecraft dock;18/06/2012;shenzhou9|shenzhou-9|tiangong1|tiangong-1
20;Doomsday - 31st December 2012;21/12/2012;doomsday|end&world|end&maya
21;Pope Francis election;13/05/2013;pope&francis
22;Boston Marathon bombing;15/04/2013;boston&marathon|boston&bombing|boston&bombings|marathon&bombing|marathon&bombings
23;Ghouta, Syria sarin gas attack;21/08/2013;ghouta|syria&chemical&attack|sarin
24;Nelson Mandela dies;05/12/2013;mandela
25;Paul Walker dies;30/11/2013;paul&walker
26;Harlem Shake;01/02/2013;harlem&shake
27;Edward Snowden, NSA;20/05/2013;snowden|nsa&disclosure
28;Oscar Pistorius murders his girlfriend;14/02/2013;pistorius
29;North West (Kim Kardashian + Kanye West);15/06/2013;north&west&kim|north&west&kanye|#kim|#kanye
30;Egyptian coup against Mohamed Morsi;03/07/2013;mohamed&morsi|egypt&morsi|egypt&massacre
31;Ebola outbreak in West Africa;01/12/2013;ebola
32;Malaysian Airlines MH370 disappears;08/03/2014;mh370|malaysian
33;Malaysian Airlines MH17 shot down;17/07/2014;mh17|malaysian
34;FIFA World Cup in Brazil;12/06/2014;worldcup|fifa|brazil2014
35;Robin Williams commits suicide;11/08/2014;robin&williams
36;Scotland UK referendum;18/09/2014;scot&referendum|uk&referendum
37;Ferguson shooting;09/08/2014;ferguson|michael&brown|police&shooting|darren&wilson
38;Rosetta lands on comet;12/11/2014;rosetta
39;#BreakTheInternet by Kim Kardashian;12/11/2014;breaktheinternet|kardashian
40;Peshawar school massacre in Pakistan;16/12/2014;peshawar|pakistan&massacre|tehrik&taliban
41;Charlie Hebdo attack In Paris;07/01/2015;jesuischarlie|charlie&hebdo
42;Germanwings plane crash;24/03/2015;germanwings
43;Garissa University College shooting in Kenya;02/04/2015;garissa|kenya&shooting
44;Nepal magn. 7.8 and 7.3 earthquakes;25/04/2015;nepal&earthquake
45;Greek government-debt crisis;01/07/2015;gree&imf|gree&debt|thisisacoup|gree&referendum|grexit
46;Cuba and USA reestablish diplomatic relations;20/07/2015;cuba&usa
47;Volkswagen scandal;18/09/2015;volkswagen
48;Ankara bombings;10/10/2015;ankara&bomb|ankara&suicide|ankara&kill
49;Paris terrorist attacks;13/11/2015;paris&attack|prayforparis|bataclan
50;Climate change pact in Paris;12/12/2015;cop21|climate&change
51;SpaceX lands Falcon 9;22/12/2015;spacex|falcon9
52;ISIS;01/01/2013;isis
53;John Forbes Nash dies;23/05/2015;john&forbes&nash|nash&equilibrium
54;Christopher Lee dies;07/06/2015;christopher&lee
55;Lemmy dies;28/12/2015;lemmy
