event_id,date,count
39,14-May-2012,1844
17,19-May-2012,425
38,24-Feb-2015,112
11,14-Sep-2011,31
31,27-May-2013,5
39,14-May-2011,330
17,19-May-2013,132
38,24-Feb-2014,101
11,14-Sep-2012,77
31,27-May-2012,17
25,16-Aug-2014,18
38,24-Sep-2011,21
25,16-Aug-2015,38
1,03-Oct-2014,6
11,14-Sep-2014,5
38,24-Sep-2012,5
35,22-Feb-2014,28
1,03-Oct-2015,2
11,14-Sep-2015,7
1,18-Jun-2014,42
38,24-Sep-2013,89
32,26-Mar-2014,13892
38,24-Feb-2011,72
35,22-Feb-2015,199
1,03-Oct-2012,14
42,02-Feb-2014,1
45,11-Mar-2015,14
38,24-Sep-2014,14
32,26-Mar-2015,94
42,02-Feb-2015,1
35,22-Feb-2012,1
38,24-Sep-2015,19
1,03-Oct-2013,2
54,10-Aug-2012,11
35,22-Feb-2013,27
1,18-Jun-2011,124
54,24-Jan-2015,1
25,16-Aug-2011,41
38,24-Feb-2012,12
54,10-Aug-2013,17
54,24-Jan-2014,9
42,02-Feb-2013,3
25,16-Aug-2012,63
1,03-Oct-2011,45
35,22-Feb-2011,41
51,25-Feb-2011,4
1,18-Jun-2013,22
54,24-Jan-2013,12
34,29-Dec-2015,536
32,26-Mar-2011,127
25,16-Aug-2013,34
42,02-Feb-2011,4
43,03-Jan-2014,6
1,18-Jun-2012,33
39,31-Dec-2013,1736
54,10-Aug-2011,1
54,24-Jan-2012,4
34,29-Dec-2014,6576
32,26-Mar-2012,66
4,24-Feb-2011,1
39,24-Jan-2011,1332
43,03-Jan-2015,4
18,14-Dec-2015,16
39,31-Dec-2012,52907
54,24-Jan-2011,7
23,07-Oct-2015,8
34,29-Dec-2013,6697
32,26-Mar-2013,274
43,03-Jan-2016,7
39,24-Jan-2012,160
39,31-Dec-2011,123
18,14-Dec-2014,354
33,10-Feb-2011,133
31,05-Sep-2011,10
23,07-Oct-2014,4
34,29-Dec-2012,7116
54,10-Aug-2014,5
51,25-Feb-2015,102
39,24-Jan-2013,2344
31,05-Sep-2012,92
39,31-Dec-2010,652
34,29-Dec-2011,345
54,10-Aug-2015,1
51,25-Feb-2014,55
11,05-Jan-2013,62
39,24-Jan-2014,1247
31,05-Sep-2013,17
34,29-Dec-2010,833
4,24-Feb-2015,1
18,14-Dec-2011,21
31,05-Sep-2014,1026
11,05-Jan-2012,6
39,24-Jan-2015,322
33,10-Feb-2012,17
23,07-Oct-2011,2
11,16-Apr-2015,4
21,30-Jul-2013,1830
39,24-Jan-2016,329
4,24-Feb-2014,6
31,05-Sep-2015,115
11,05-Jan-2011,10
39,31-Dec-2015,534
33,10-Feb-2015,128
18,14-Dec-2010,121
11,16-Apr-2014,28
21,30-Jul-2014,58
33,10-Feb-2014,227
18,14-Dec-2013,468
39,31-Dec-2014,2752
11,16-Apr-2013,81
21,30-Jul-2015,19
18,14-Dec-2012,537
11,16-Apr-2012,28
11,05-Jan-2016,6
11,16-Apr-2011,8
11,05-Jan-2015,46
11,05-Jan-2014,41
7,20-Feb-2011,1287
1,08-Jun-2014,2
7,20-Feb-2012,5
30,21-Aug-2011,3
1,08-Jun-2015,26
11,01-Dec-2014,1
7,20-Feb-2013,150
30,21-Aug-2012,19
14,11-Feb-2015,663
11,01-Dec-2015,1
7,20-Feb-2014,79
30,21-Aug-2013,532
14,11-Feb-2014,18964
11,01-Dec-2012,40
7,20-Feb-2015,483
7,02-Jan-2014,548
35,25-Feb-2012,15
14,11-Feb-2013,581
11,01-Dec-2013,88
3,12-Jul-2013,17
3,12-Jul-2012,41
35,25-Feb-2011,39
19,21-Sep-2011,2
14,11-Feb-2012,78
3,05-Nov-2013,26
7,02-Jan-2015,540
11,01-Dec-2010,10
3,12-Jul-2011,50
1,08-Jun-2012,149
14,11-Feb-2011,427
3,05-Nov-2012,58
28,13-Apr-2011,2
27,18-Sep-2015,25
7,02-Jan-2016,10
11,01-Dec-2011,3
28,13-Apr-2012,21
27,18-Sep-2014,86
19,21-Sep-2013,6
3,05-Nov-2011,8
1,08-Jun-2013,13
13,27-Jan-2015,103
3,05-Nov-2010,1
27,18-Sep-2013,831
28,13-Apr-2013,70
13,27-Jan-2014,23
28,19-May-2014,4
35,25-Feb-2015,371
7,02-Jan-2011,63
14,17-Aug-2013,878
7,24-Sep-2015,3850
28,13-Apr-2014,408
27,18-Sep-2012,9
3,12-Jul-2015,8
7,24-Sep-2014,16
35,25-Feb-2014,20
14,17-Aug-2012,11168
27,18-Sep-2011,4
28,13-Apr-2015,1
7,02-Jan-2012,46
13,27-Jan-2016,4
28,19-May-2012,3
3,12-Jul-2014,1
13,16-Sep-2011,225
14,17-Aug-2011,675
3,05-Nov-2015,5
7,02-Jan-2013,280
34,24-Dec-2010,619
13,27-Jan-2011,7
28,19-May-2013,13
18,20-Jun-2015,47
13,16-Sep-2012,110
3,05-Nov-2014,8
34,24-Dec-2011,299
18,20-Jun-2014,549
7,24-Sep-2011,22
2,21-Jun-2011,2
34,24-Dec-2012,6604
18,20-Jun-2013,472
13,27-Jan-2013,10
34,24-Dec-2013,6454
7,24-Sep-2013,110
13,27-Jan-2012,48
42,04-Jan-2014,4
18,20-Jun-2012,221
14,17-Aug-2015,125
13,16-Sep-2015,18
34,24-Dec-2014,7555
14,17-Aug-2014,96
2,21-Jun-2014,2
42,04-Jan-2015,11
18,20-Jun-2011,190
7,24-Sep-2012,10
42,04-Jan-2016,3
14,21-Apr-2011,413
45,12-May-2012,14
34,24-Dec-2015,672
14,21-Apr-2012,2022
14,21-Apr-2013,805
45,12-May-2014,1
16,23-Mar-2011,1
14,21-Apr-2014,81
45,12-May-2015,12
42,04-Jan-2011,3
14,21-Apr-2015,66
42,04-Jan-2012,1
16,23-Mar-2013,5
42,04-Jan-2013,2
7,20-Aug-2014,23
16,23-Mar-2012,3
7,20-Aug-2015,9
16,23-Mar-2015,1
46,21-Sep-2014,6
26,21-Mar-2014,113
7,20-Aug-2012,12170
16,23-Mar-2014,4
26,12-Jun-2011,34
14,26-Mar-2011,354
26,21-Mar-2015,7
7,20-Aug-2013,1296
46,21-Sep-2015,15
37,03-Aug-2015,472
26,21-Mar-2012,11
14,26-Mar-2012,139
48,01-Dec-2014,2
37,03-Aug-2014,53
7,20-Aug-2011,182
33,13-Mar-2015,64
26,12-Jun-2013,715
26,21-Mar-2013,1159
14,26-Mar-2013,428
33,13-Mar-2014,4556
26,12-Jun-2012,80
37,03-Aug-2013,300
14,26-Mar-2014,823
37,03-Aug-2012,656
46,21-Sep-2011,26
26,12-Jun-2015,10
26,21-Mar-2011,38
24,23-Dec-2012,570
14,26-Mar-2015,83
24,23-Dec-2013,2941
26,12-Jun-2014,6
46,21-Sep-2012,20
37,03-Aug-2011,203
31,11-Apr-2014,486
47,26-Nov-2015,174
46,21-Sep-2013,24
27,08-Jun-2015,64
33,13-Mar-2011,5
24,23-Dec-2010,111
31,11-Apr-2015,146
24,23-Dec-2011,16
47,26-Nov-2014,49
27,08-Jun-2014,86
39,24-Apr-2014,173
27,08-Jun-2013,19
13,12-May-2015,69
47,26-Nov-2013,487
39,19-Jan-2011,1344
39,24-Apr-2015,384
