month,count
Oct-2012,449213458
Oct-2013,426429557
Oct-2010,33615010
Oct-2011,231927796
Oct-2014,59383482
Oct-2015,54674079
Aug-2015,59345101
Aug-2014,62615054
Aug-2013,684652499
Aug-2012,653731484
Aug-2011,203063785
Aug-2010,1
May-2015,51985618
May-2014,128523104
May-2011,145446101
May-2013,427048452
May-2012,585796552
Sep-2010,1
Sep-2011,296611712
Sep-2012,446864730
Sep-2013,508393954
Sep-2014,58115099
Sep-2015,53491875
Dec-2014,421660588
Dec-2015,53734997
Dec-2010,136761973
Dec-2011,41828062
Dec-2012,690939403
Dec-2013,661987893
Jul-2015,58225445
Jul-2014,27295328
Jul-2013,601054870
Jul-2012,668779411
Jul-2011,191486171
Nov-2013,643508653
Nov-2012,646565689
Nov-2011,36633609
Nov-2010,120136803
Nov-2015,56402621
Nov-2014,59204651
Jan-2015,312310479
Jan-2014,520153523
Jan-2016,54329236
Jan-2011,159084087
Jan-2010,1
Jan-2013,747231660
Jan-2012,46834170
Jun-2011,140919409
Jun-2010,1
Jun-2013,510596060
Jun-2012,395523823
Jun-2015,54971656
Jun-2014,307748589
Feb-2011,157797455
Feb-2010,2
Feb-2013,435923804
Feb-2012,46155659
Feb-2015,354969965
Feb-2014,367202884
Feb-2016,56
Apr-2015,55529801
Apr-2014,231304731
Apr-2011,212772696
Apr-2010,3
Apr-2013,618260966
Apr-2012,519696885
Sep-2009,1
Mar-2014,404943759
Mar-2015,207615402
Mar-2011,193599740
Mar-2012,53590440
Mar-2013,129872202
