event_id,date,count
2,2016-08-21,2
3,2016-02-15,1
6,2016-07-02,2
2,2016-08-20,3
6,2016-07-03,1
11,2016-10-15,21
12,2016-08-22,1
9,2016-05-04,4
14,2016-08-19,4
4,2016-06-04,1
14,2016-08-29,3
2,2016-03-20,2
5,2016-01-23,1
11,2016-01-03,4
11,2016-08-24,60
15,2016-08-17,142
12,2016-07-01,33
7,2016-07-02,1
9,2016-10-31,2
9,2016-04-27,26
9,2016-08-27,20
1,2016-09-11,2
12,2016-05-08,1
2,2016-04-14,3
12,2016-08-12,3
10,2016-04-16,11
2,2016-03-02,7
12,2016-06-12,2
2,2016-07-22,6
2,2016-03-10,6
8,2016-07-21,11
15,2016-08-27,93
12,2016-06-22,4
1,2016-04-18,1
11,2016-02-07,2
9,2016-08-07,670
8,2016-08-17,6
7,2016-08-18,1
9,2016-01-04,1
11,2016-04-09,9
9,2016-07-19,32
11,2016-03-26,5
5,2016-03-20,11
8,2016-09-28,5
15,2016-10-01,1
12,2016-10-04,1
11,2016-05-19,7
15,2016-09-02,19
5,2016-02-25,26
11,2016-03-18,5
5,2016-07-25,124
9,2016-02-06,1
5,2016-09-23,71
1,2016-05-07,4
9,2016-02-13,3
9,2016-05-10,10
7,2016-06-11,1
11,2016-09-29,21
1,2016-09-30,5
2,2016-08-25,5
3,2016-05-23,1
9,2016-10-10,14
4,2016-06-09,1
1,2016-03-29,1
2,2016-01-13,15
14,2016-09-22,1
1,2016-03-24,5
2,2016-08-28,4
9,2016-10-15,5
3,2016-08-14,2
12,2016-07-13,18
11,2016-01-09,1
7,2016-07-14,1
9,2016-08-26,45
9,2016-04-26,9
7,2016-07-03,1
9,2016-10-30,10
5,2016-06-27,527
7,2016-09-04,3
5,2016-10-26,84
2,2016-06-22,9
9,2016-03-04,7
2,2016-04-19,3
11,2016-02-18,3
5,2016-10-23,66
10,2016-10-08,1
11,2016-04-19,1
9,2016-01-14,3
7,2016-06-28,2
9,2016-09-18,10
12,2016-07-28,1
11,2016-06-22,3
2,2016-06-27,1
1,2016-10-03,1
9,2016-03-01,3
5,2016-02-01,22
9,2016-06-09,5
11,2016-10-03,28
5,2016-05-27,58
11,2016-05-07,11
2,2016-07-19,7
2,2016-04-23,11
2,2016-10-24,1
5,2016-02-15,32
11,2016-04-26,5
5,2016-08-24,41
11,2016-07-14,102
