event_id,polarity,count
9,NEUTRAL,9390
1,NEGATIVE,319
12,POSITIVE,95
14,UNKNOWN,15
8,NEGATIVE,224
7,NEGATIVE,3
3,NEUTRAL,233
14,NEGATIVE,134
13,NEUTRAL,61
2,UNKNOWN,24
11,UNKNOWN,183
12,NEGATIVE,19
5,NEUTRAL,14178
15,POSITIVE,102
10,NEUTRAL,1614
9,NEGATIVE,1170
8,POSITIVE,58
10,POSITIVE,108
5,POSITIVE,3072
7,POSITIVE,22
15,NEUTRAL,1527
10,UNKNOWN,23
2,POSITIVE,181
2,NEGATIVE,250
7,NEUTRAL,81
12,NEUTRAL,378
1,NEUTRAL,659
13,NEGATIVE,100
6,NEGATIVE,88
11,POSITIVE,1520
10,NEGATIVE,255
9,POSITIVE,4491
11,NEUTRAL,5244
15,NEGATIVE,99
14,POSITIVE,44
14,NEUTRAL,302
3,POSITIVE,23
13,POSITIVE,4
5,NEGATIVE,4531
5,UNKNOWN,321
1,POSITIVE,9
1,UNKNOWN,8
6,NEUTRAL,12
15,UNKNOWN,56
3,NEGATIVE,17
12,UNKNOWN,29
11,NEGATIVE,808
6,UNKNOWN,4
9,UNKNOWN,822
13,UNKNOWN,3
4,NEGATIVE,27
6,POSITIVE,3
4,NEUTRAL,86
8,UNKNOWN,27
8,NEUTRAL,277
3,UNKNOWN,4
2,NEUTRAL,771
