date,count
2016-1-1,21795
2016-1-10,8377
2016-1-11,13472
2016-1-12,31058
2016-1-13,30328
2016-1-14,30357
2016-1-2,22002
2016-1-22,26895
2016-1-23,12014
2016-1-24,12701
2016-1-25,15171
2016-1-26,27778
2016-1-27,30285
2016-1-28,29268
2016-1-29,28612
2016-1-3,20087
2016-1-30,24428
2016-1-31,24968
2016-1-4,22141
2016-1-5,23824
2016-1-6,21106
2016-1-7,8227
2016-1-8,8621
2016-1-9,8247
2016-10-1,48392
2016-10-10,59643
2016-10-11,59592
2016-10-12,58243
2016-10-13,59988
2016-10-14,58837
2016-10-15,47161
2016-10-16,49653
2016-10-17,58913
2016-10-18,59959
2016-10-19,60692
2016-10-2,50924
2016-10-20,61677
2016-10-21,53502
2016-10-22,47088
2016-10-23,50696
2016-10-24,59812
2016-10-25,62161
2016-10-26,62749
2016-10-27,124335
2016-10-28,119444
2016-10-29,95119
2016-10-3,57884
2016-10-30,101471
2016-10-31,111723
2016-10-4,59933
2016-10-5,58891
2016-10-6,58772
2016-10-7,57512
2016-10-8,47930
2016-10-9,49826
2016-2-1,29030
2016-2-10,25068
2016-2-11,25299
2016-2-12,27402
2016-2-13,22744
2016-2-14,25194
2016-2-15,27081
2016-2-16,28196
2016-2-17,28193
2016-2-18,26051
2016-2-19,27490
2016-2-2,29835
2016-2-20,22628
2016-2-21,22734
2016-2-22,26124
2016-2-23,26121
2016-2-24,26419
2016-2-25,25754
2016-2-26,24917
2016-2-27,19989
2016-2-28,25713
2016-2-29,26073
2016-2-3,29428
2016-2-4,8195
2016-2-5,24175
2016-2-6,23472
2016-2-7,24560
2016-2-8,27243
2016-2-9,27198
2016-3-1,26092
2016-3-10,27413
2016-3-11,26398
2016-3-12,20589
2016-3-13,16916
2016-3-14,27171
2016-3-15,28470
2016-3-16,29808
2016-3-17,27512
2016-3-18,26952
2016-3-19,22146
2016-3-2,26656
2016-3-20,21951
2016-3-21,26233
2016-3-22,28303
2016-3-23,26038
2016-3-24,25981
2016-3-25,23310
2016-3-26,20757
2016-3-27,20655
2016-3-28,22996
2016-3-29,28073
2016-3-3,26037
2016-3-30,27401
2016-3-31,26534
2016-3-4,25592
2016-3-5,21493
2016-3-6,21538
2016-3-7,25405
2016-3-8,23865
2016-3-9,26546
2016-4-1,25333
2016-4-10,21017
2016-4-11,24754
2016-4-12,28851
2016-4-13,27511
2016-4-14,27340
2016-4-15,30089
2016-4-16,21765
2016-4-17,15048
2016-4-18,22457
2016-4-19,24535
2016-4-2,21270
2016-4-20,26345
2016-4-21,26756
2016-4-22,26112
2016-4-23,17912
2016-4-24,18298
2016-4-25,23969
2016-4-26,32566
2016-4-27,32884
2016-4-28,30471
2016-4-29,30621
2016-4-3,21466
2016-4-30,25378
2016-4-4,24843
2016-4-5,25994
2016-4-6,20544
2016-4-7,25342
2016-4-8,27216
2016-4-9,22312
2016-5-1,26492
2016-5-10,38540
2016-5-11,37692
2016-5-12,38035
2016-5-13,36346
2016-5-14,35537
2016-5-15,29078
2016-5-16,32216
2016-5-17,35913
2016-5-18,38895
2016-5-19,36355
2016-5-2,31448
2016-5-20,28727
2016-5-21,21867
2016-5-22,23921
2016-5-23,28935
2016-5-24,29569
2016-5-25,29015
2016-5-26,28721
2016-5-27,27478
2016-5-28,24371
2016-5-29,24741
2016-5-3,31434
2016-5-30,29007
2016-5-31,28991
2016-5-4,29501
2016-5-5,26188
2016-5-6,29942
2016-5-7,30986
2016-5-8,32387
2016-5-9,38057
2016-6-1,31738
2016-6-10,29717
2016-6-11,26104
2016-6-12,25517
2016-6-13,31576
2016-6-14,31456
2016-6-15,31162
2016-6-16,29707
2016-6-17,28818
2016-6-18,21020
2016-6-19,21635
2016-6-2,30080
2016-6-20,24878
2016-6-21,25709
2016-6-22,26195
2016-6-23,18655
2016-6-24,35950
2016-6-25,25271
2016-6-26,18355
2016-6-27,19828
2016-6-28,17435
2016-6-29,16335
2016-6-3,28929
2016-6-30,17139
2016-6-4,22453
2016-6-5,25694
2016-6-6,28245
2016-6-7,29538
2016-6-8,29308
2016-6-9,21686
2016-7-1,25822
2016-7-10,15698
2016-7-11,16084
2016-7-12,17344
2016-7-13,19084
2016-7-14,18747
2016-7-15,18564
2016-7-16,30245
2016-7-17,25111
2016-7-18,33436
2016-7-19,39903
2016-7-2,22566
2016-7-20,62292
2016-7-21,25295
2016-7-22,25449
2016-7-23,26078
2016-7-24,46362
2016-7-25,51889
2016-7-26,18721
2016-7-27,30315
2016-7-28,35475
2016-7-29,30904
2016-7-3,15205
2016-7-30,20621
2016-7-31,18870
2016-7-4,15620
2016-7-5,16375
2016-7-6,16742
2016-7-7,16783
2016-7-8,21796
2016-7-9,17630
2016-8-1,30148
2016-8-10,64582
2016-8-11,61820
2016-8-12,62258
2016-8-13,51178
2016-8-14,55130
2016-8-15,63351
2016-8-16,66018
2016-8-17,65410
2016-8-18,65998
2016-8-19,64692
2016-8-2,26444
2016-8-20,55799
2016-8-21,55253
2016-8-22,62852
2016-8-23,64339
2016-8-24,64584
2016-8-25,66800
2016-8-26,64903
2016-8-27,53214
2016-8-28,56359
2016-8-29,64211
2016-8-3,29290
2016-8-30,63384
2016-8-31,65782
2016-8-4,31416
2016-8-5,47880
2016-8-6,40552
2016-8-7,51405
2016-8-8,62711
2016-8-9,66765
2016-9-1,64839
2016-9-10,52533
2016-9-11,53029
2016-9-12,63084
2016-9-13,65664
2016-9-14,63411
2016-9-15,62913
2016-9-16,61415
2016-9-17,51071
2016-9-18,53945
2016-9-19,60828
2016-9-2,60851
2016-9-20,63218
2016-9-21,62510
2016-9-22,61355
2016-9-23,59176
2016-9-24,48596
2016-9-25,52734
2016-9-26,59382
2016-9-27,62289
2016-9-28,61972
2016-9-29,60824
2016-9-3,50628
2016-9-30,58607
2016-9-4,52773
2016-9-5,62529
2016-9-6,65766
2016-9-7,66301
2016-9-8,62609
2016-9-9,62706
